"city","country","pop2024","latitude","longitude"
"Mexico City","Mexico",12294193,19.4285,-99.1277
"Iztapalapa","Mexico",1815786,19.3553,-99.0622
"Ecatepec de Morelos","Mexico",1655015,19.6049,-99.0606
"Guadalajara","Mexico",1495182,20.6668,-103.392
"Puebla","Mexico",1434062,19.0379,-98.2035
"Juarez","Mexico",1321004,31.7202,-106.461
"Tijuana","Mexico",1300983,32.5027,-117.004
"Leon de los Aldama","Mexico",1238962,21.1291,-101.674
"Gustavo Adolfo Madero","Mexico",1185772,19.4939,-99.1107
"Zapopan","Mexico",1142483,20.7236,-103.385
"Monterrey","Mexico",1135512,25.6751,-100.318
"Ciudad Nezahualcoyotl","Mexico",1104585,19.4006,-99.0148
"Chihuahua","Mexico",809232,28.6353,-106.089
"Naucalpan de Juarez","Mexico",792211,19.4785,-99.2396
"Merida","Mexico",777615,20.9754,-89.617
"Alvaro Obregon","Mexico",726664,19.3587,-99.2033
"San Luis Potosi","Mexico",722772,22.1498,-100.979
"Aguascalientes","Mexico",722250,21.8823,-102.283
"Hermosillo","Mexico",715061,29.1026,-110.977
"Saltillo","Mexico",709671,25.4232,-101.005
"Mexicali","Mexico",689775,32.6278,-115.454
"Culiacan","Mexico",675773,24.7903,-107.388
"Guadalupe","Mexico",673616,25.6768,-100.256
"Acapulco de Juarez","Mexico",673479,16.8494,-99.9089
"Tlalnepantla","Mexico",653410,19.5401,-99.1954
"Cancun","Mexico",628306,21.1743,-86.8466
"Santiago de Queretaro","Mexico",626495,20.5881,-100.388
"Coyoacan","Mexico",620416,19.3467,-99.1617
"Santa Maria Chimalhuacan","Mexico",612383,19.4216,-98.9504
"Torreon","Mexico",608836,25.5439,-103.419
"Morelia","Mexico",597511,19.7008,-101.184
"Reynosa","Mexico",589466,26.0806,-98.2884
"Tlaquepaque","Mexico",575942,20.6409,-103.293
"Tlalpan","Mexico",574577,19.2951,-99.1621
"Tuxtla","Mexico",537102,16.7597,-93.1131
"Cuauhtemoc","Mexico",531831,19.4451,-99.1461
"Victoria de Durango","Mexico",518709,24.0203,-104.658
"Toluca","Mexico",489333,19.2879,-99.6532
"Ciudad Lopez Mateos","Mexico",489160,19.5579,-99.2568
"Cuautitlan Izcalli","Mexico",484573,19.6439,-99.216
"Ciudad Apodaca","Mexico",467157,25.7819,-100.188
"Heroica Matamoros","Mexico",449815,25.8797,-97.5042
"San Nicolas de los Garza","Mexico",443273,25.7417,-100.302
"Venustiano Carranza","Mexico",430978,19.4436,-99.105
"Veracruz","Mexico",428323,19.181,-96.1429
"Xalapa de Enriquez","Mexico",424755,19.5312,-96.9159
"Azcapotzalco","Mexico",414711,19.487,-99.1859
"Tonala","Mexico",408759,20.6245,-103.234
"Xochimilco","Mexico",407885,19.2547,-99.1036
"Benito Juarez","Mexico",385439,19.3727,-99.1564
"Iztacalco","Mexico",384326,19.3953,-99.0978
"Mazatlan","Mexico",381583,23.2329,-106.406
"Irapuato","Mexico",380941,20.6768,-101.356
"Nuevo Laredo","Mexico",373725,27.4763,-99.5164
"Miguel Hidalgo","Mexico",372889,19.4341,-99.2002
"Xico","Mexico",356352,19.2703,-98.9509
"Benito Juarez","Mexico",355017,19.3984,-99.1577
"Villahermosa","Mexico",353577,17.9869,-92.9303
"Ciudad General Escobedo","Mexico",352444,25.797,-100.318
"Celaya","Mexico",340387,20.5235,-100.816
"Cuernavaca","Mexico",338650,18.9261,-99.2308
"Tepic","Mexico",332863,21.5095,-104.896
